Name,State,Type,Popularity,BestTimeToVisit
Taj Mahal,Uttar Pradesh,Historical,9.32701478,Nov-Feb
Goa Beaches,Goa,Beach,7.799317153,Nov-Mar
Jaipur City,Rajasthan,City,8.571570123,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.16565426,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.333012518,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.912423771,Nov-Feb
Goa Beaches,Goa,Beach,7.962932744,Nov-Mar
Jaipur City,Rajasthan,City,8.427042499,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.016517304,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.677908499,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.742346086,Nov-Feb
Goa Beaches,Goa,Beach,8.049399731,Nov-Mar
Jaipur City,Rajasthan,City,9.229663136,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.1864846,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.52816081,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.459730623,Nov-Feb
Goa Beaches,Goa,Beach,8.839626409,Nov-Mar
Jaipur City,Rajasthan,City,8.683728793,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.707253749,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.316001911,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.728114076,Nov-Feb
Goa Beaches,Goa,Beach,7.987106149,Nov-Mar
Jaipur City,Rajasthan,City,8.465558406,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.208388595,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.224548105,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.865953291,Nov-Feb
Goa Beaches,Goa,Beach,8.459808777,Nov-Mar
Jaipur City,Rajasthan,City,9.225300609,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.308543308,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.845173227,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.091809666,Nov-Feb
Goa Beaches,Goa,Beach,8.888745118,Nov-Mar
Jaipur City,Rajasthan,City,8.531272859,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.900632193,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.390879273,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.948981237,Nov-Feb
Goa Beaches,Goa,Beach,7.710238851,Nov-Mar
Jaipur City,Rajasthan,City,8.42602682,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.250765566,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.889359194,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.509850241,Nov-Feb
Goa Beaches,Goa,Beach,9.348468751,Nov-Mar
Jaipur City,Rajasthan,City,9.048845046,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.23103403,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.254492209,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.540493347,Nov-Feb
Goa Beaches,Goa,Beach,7.625998221,Nov-Mar
Jaipur City,Rajasthan,City,8.981270231,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.555128224,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.761543598,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.250898706,Nov-Feb
Goa Beaches,Goa,Beach,8.025486409,Nov-Mar
Jaipur City,Rajasthan,City,9.479101518,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.661784765,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.931950952,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.431015219,Nov-Feb
Goa Beaches,Goa,Beach,9.276219098,Nov-Mar
Jaipur City,Rajasthan,City,8.138557734,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.780303814,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.439314464,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.593932856,Nov-Feb
Goa Beaches,Goa,Beach,9.061411819,Nov-Mar
Jaipur City,Rajasthan,City,8.74602754,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.432522163,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.183226467,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.347502108,Nov-Feb
Goa Beaches,Goa,Beach,7.948762857,Nov-Mar
Jaipur City,Rajasthan,City,9.187132542,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.361380336,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.307482015,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.250030402,Nov-Feb
Goa Beaches,Goa,Beach,8.062331361,Nov-Mar
Jaipur City,Rajasthan,City,8.654607164,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.633724983,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.387349596,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.208032333,Nov-Feb
Goa Beaches,Goa,Beach,8.128286959,Nov-Mar
Jaipur City,Rajasthan,City,8.878936494,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.93781254,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.414265881,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.265509612,Nov-Feb
Goa Beaches,Goa,Beach,8.698828828,Nov-Mar
Jaipur City,Rajasthan,City,9.324413282,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.264964763,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.940107798,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.437797979,Nov-Feb
Goa Beaches,Goa,Beach,9.314545773,Nov-Mar
Jaipur City,Rajasthan,City,8.918823544,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.992592263,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.078697969,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.510029536,Nov-Feb
Goa Beaches,Goa,Beach,8.240547501,Nov-Mar
Jaipur City,Rajasthan,City,9.435963382,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.252045522,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.380186804,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.219575249,Nov-Feb
Goa Beaches,Goa,Beach,9.222486405,Nov-Mar
Jaipur City,Rajasthan,City,9.319083493,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.980635862,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.481318667,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.890656668,Nov-Feb
Goa Beaches,Goa,Beach,8.715019439,Nov-Mar
Jaipur City,Rajasthan,City,8.927901484,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.772507901,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.521876495,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.073609022,Nov-Feb
Goa Beaches,Goa,Beach,8.486706785,Nov-Mar
Jaipur City,Rajasthan,City,8.998307151,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.20745617,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.090624069,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.798076955,Nov-Feb
Goa Beaches,Goa,Beach,9.240920637,Nov-Mar
Jaipur City,Rajasthan,City,8.564171558,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.726465987,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.135320167,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.819012403,Nov-Feb
Goa Beaches,Goa,Beach,8.988127174,Nov-Mar
Jaipur City,Rajasthan,City,7.692409735,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.181851283,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.17762404,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.056460846,Nov-Feb
Goa Beaches,Goa,Beach,9.187047298,Nov-Mar
Jaipur City,Rajasthan,City,8.612909578,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.945958184,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.310861661,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.299700199,Nov-Feb
Goa Beaches,Goa,Beach,8.68210175,Nov-Mar
Jaipur City,Rajasthan,City,8.997155931,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.517940732,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.661289356,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.994067311,Nov-Feb
Goa Beaches,Goa,Beach,8.645510419,Nov-Mar
Jaipur City,Rajasthan,City,8.086168022,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.251772001,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.747376071,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.374491709,Nov-Feb
Goa Beaches,Goa,Beach,8.56499898,Nov-Mar
Jaipur City,Rajasthan,City,9.401317818,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.025943211,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.042176517,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.703776811,Nov-Feb
Goa Beaches,Goa,Beach,8.67218513,Nov-Mar
Jaipur City,Rajasthan,City,9.113897124,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.653271522,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.252519204,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.456850744,Nov-Feb
Goa Beaches,Goa,Beach,9.310527199,Nov-Mar
Jaipur City,Rajasthan,City,7.952541969,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.870130228,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.478803438,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.567818753,Nov-Feb
Goa Beaches,Goa,Beach,9.187761001,Nov-Mar
Jaipur City,Rajasthan,City,8.248703528,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.000157282,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.748348707,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.193226492,Nov-Feb
Goa Beaches,Goa,Beach,8.292439606,Nov-Mar
Jaipur City,Rajasthan,City,9.155604744,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.553270853,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.419067682,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.450301921,Nov-Feb
Goa Beaches,Goa,Beach,8.207209291,Nov-Mar
Jaipur City,Rajasthan,City,8.205781817,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.59875288,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.99830559,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.015671518,Nov-Feb
Goa Beaches,Goa,Beach,7.779308047,Nov-Mar
Jaipur City,Rajasthan,City,8.456710702,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.877125609,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.937350085,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.569722658,Nov-Feb
Goa Beaches,Goa,Beach,7.768523623,Nov-Mar
Jaipur City,Rajasthan,City,9.180141735,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.427997306,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.171090109,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.148297385,Nov-Feb
Goa Beaches,Goa,Beach,9.168100701,Nov-Mar
Jaipur City,Rajasthan,City,9.468508271,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.618563706,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.446618128,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.865548979,Nov-Feb
Goa Beaches,Goa,Beach,7.735247906,Nov-Mar
Jaipur City,Rajasthan,City,7.754720779,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.463041122,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.390934664,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.679434821,Nov-Feb
Goa Beaches,Goa,Beach,8.330784565,Nov-Mar
Jaipur City,Rajasthan,City,8.517017713,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.298998287,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.015692414,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.645870324,Nov-Feb
Goa Beaches,Goa,Beach,7.652012351,Nov-Mar
Jaipur City,Rajasthan,City,8.443802952,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.295686417,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.940660734,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.342123928,Nov-Feb
Goa Beaches,Goa,Beach,7.582948969,Nov-Mar
Jaipur City,Rajasthan,City,7.893422692,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.003574785,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.810690634,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.200376502,Nov-Feb
Goa Beaches,Goa,Beach,9.097017239,Nov-Mar
Jaipur City,Rajasthan,City,8.392153666,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.434544322,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.896288153,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.820265199,Nov-Feb
Goa Beaches,Goa,Beach,8.642272298,Nov-Mar
Jaipur City,Rajasthan,City,7.809114532,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.331131728,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.352057126,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.649857558,Nov-Feb
Goa Beaches,Goa,Beach,7.949828337,Nov-Mar
Jaipur City,Rajasthan,City,9.283907838,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.674024425,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.264541565,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.691737654,Nov-Feb
Goa Beaches,Goa,Beach,7.876158567,Nov-Mar
Jaipur City,Rajasthan,City,8.038341365,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.330602251,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.512680032,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.591103124,Nov-Feb
Goa Beaches,Goa,Beach,9.155871192,Nov-Mar
Jaipur City,Rajasthan,City,9.31511956,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.081925622,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.009714715,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.559749377,Nov-Feb
Goa Beaches,Goa,Beach,9.30470555,Nov-Mar
Jaipur City,Rajasthan,City,9.300321813,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.189377296,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.161029661,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.903494513,Nov-Feb
Goa Beaches,Goa,Beach,9.008751898,Nov-Mar
Jaipur City,Rajasthan,City,8.771306422,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.167683021,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.204607884,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.464391796,Nov-Feb
Goa Beaches,Goa,Beach,7.956162813,Nov-Mar
Jaipur City,Rajasthan,City,9.496920385,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.441880662,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.76970521,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.032216296,Nov-Feb
Goa Beaches,Goa,Beach,9.350623283,Nov-Mar
Jaipur City,Rajasthan,City,9.008048228,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.991928056,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.923387964,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.3495136,Nov-Feb
Goa Beaches,Goa,Beach,7.848867269,Nov-Mar
Jaipur City,Rajasthan,City,8.822604312,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.975932403,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.175473129,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.535347955,Nov-Feb
Goa Beaches,Goa,Beach,7.970160845,Nov-Mar
Jaipur City,Rajasthan,City,7.593849734,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.84062243,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.809939226,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.406991631,Nov-Feb
Goa Beaches,Goa,Beach,7.68733681,Nov-Mar
Jaipur City,Rajasthan,City,7.81840781,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.000500722,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.944718004,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.263552559,Nov-Feb
Goa Beaches,Goa,Beach,8.565346616,Nov-Mar
Jaipur City,Rajasthan,City,8.104480471,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.841584037,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.159638354,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.748130653,Nov-Feb
Goa Beaches,Goa,Beach,8.577900963,Nov-Mar
Jaipur City,Rajasthan,City,8.41904082,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.465996075,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.598827165,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.260858752,Nov-Feb
Goa Beaches,Goa,Beach,8.036441482,Nov-Mar
Jaipur City,Rajasthan,City,8.056619012,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.133852314,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.195260135,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.887068417,Nov-Feb
Goa Beaches,Goa,Beach,8.822980009,Nov-Mar
Jaipur City,Rajasthan,City,8.397475309,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.227763246,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.288646089,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.627961322,Nov-Feb
Goa Beaches,Goa,Beach,8.419227436,Nov-Mar
Jaipur City,Rajasthan,City,8.305889899,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.656962614,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.878652899,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.814028636,Nov-Feb
Goa Beaches,Goa,Beach,9.111768717,Nov-Mar
Jaipur City,Rajasthan,City,8.563698042,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.917510992,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.371945151,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.02374639,Nov-Feb
Goa Beaches,Goa,Beach,8.62911875,Nov-Mar
Jaipur City,Rajasthan,City,8.844219598,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.155527396,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.031524747,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.636551596,Nov-Feb
Goa Beaches,Goa,Beach,8.810464389,Nov-Mar
Jaipur City,Rajasthan,City,8.244553687,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.655670235,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.402277983,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.878654588,Nov-Feb
Goa Beaches,Goa,Beach,8.367306496,Nov-Mar
Jaipur City,Rajasthan,City,9.203460228,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.603678777,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.034817273,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.93163212,Nov-Feb
Goa Beaches,Goa,Beach,9.389779698,Nov-Mar
Jaipur City,Rajasthan,City,8.279131952,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.925686613,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.339552233,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.182156496,Nov-Feb
Goa Beaches,Goa,Beach,7.714387335,Nov-Mar
Jaipur City,Rajasthan,City,9.099305628,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.569879157,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.89627217,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.206443213,Nov-Feb
Goa Beaches,Goa,Beach,8.465381843,Nov-Mar
Jaipur City,Rajasthan,City,8.703584274,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.248600726,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.514869186,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.088805186,Nov-Feb
Goa Beaches,Goa,Beach,9.413701354,Nov-Mar
Jaipur City,Rajasthan,City,8.053822692,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.372037386,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.263891739,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.727775532,Nov-Feb
Goa Beaches,Goa,Beach,8.532765537,Nov-Mar
Jaipur City,Rajasthan,City,7.727596682,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.203211682,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.933373925,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.059361289,Nov-Feb
Goa Beaches,Goa,Beach,8.35090682,Nov-Mar
Jaipur City,Rajasthan,City,8.719936426,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.93173656,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.956458953,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.790538404,Nov-Feb
Goa Beaches,Goa,Beach,8.539108136,Nov-Mar
Jaipur City,Rajasthan,City,8.594748337,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.084015245,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.734281734,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.547608275,Nov-Feb
Goa Beaches,Goa,Beach,7.644463431,Nov-Mar
Jaipur City,Rajasthan,City,9.121395353,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.727517592,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.352180026,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.360142316,Nov-Feb
Goa Beaches,Goa,Beach,8.1478115,Nov-Mar
Jaipur City,Rajasthan,City,8.902575504,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.50672406,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.624586257,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.145328815,Nov-Feb
Goa Beaches,Goa,Beach,8.243622218,Nov-Mar
Jaipur City,Rajasthan,City,7.59663444,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.576635983,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.0810296,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.129988977,Nov-Feb
Goa Beaches,Goa,Beach,9.137327132,Nov-Mar
Jaipur City,Rajasthan,City,8.784997932,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.038663649,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.079156318,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.459363313,Nov-Feb
Goa Beaches,Goa,Beach,9.046231352,Nov-Mar
Jaipur City,Rajasthan,City,9.200907306,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.861507016,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.291685938,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.531079522,Nov-Feb
Goa Beaches,Goa,Beach,8.997832251,Nov-Mar
Jaipur City,Rajasthan,City,8.528348194,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.31788274,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.366933345,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.389205905,Nov-Feb
Goa Beaches,Goa,Beach,9.44212563,Nov-Mar
Jaipur City,Rajasthan,City,8.223627063,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.174235795,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.157720702,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.421688098,Nov-Feb
Goa Beaches,Goa,Beach,7.505628741,Nov-Mar
Jaipur City,Rajasthan,City,7.78158026,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.531159788,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.189514728,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.243698789,Nov-Feb
Goa Beaches,Goa,Beach,9.120638441,Nov-Mar
Jaipur City,Rajasthan,City,7.608875043,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.078902378,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.97203091,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.157148626,Nov-Feb
Goa Beaches,Goa,Beach,9.410831094,Nov-Mar
Jaipur City,Rajasthan,City,9.310459572,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.208242453,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.41014171,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.576757877,Nov-Feb
Goa Beaches,Goa,Beach,9.17899403,Nov-Mar
Jaipur City,Rajasthan,City,8.014068811,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.84425667,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.161053311,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.393805813,Nov-Feb
Goa Beaches,Goa,Beach,9.00678474,Nov-Mar
Jaipur City,Rajasthan,City,8.336255249,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.589205999,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.220824441,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.423987379,Nov-Feb
Goa Beaches,Goa,Beach,7.999026975,Nov-Mar
Jaipur City,Rajasthan,City,8.385706717,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.562622504,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.772244497,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.853137683,Nov-Feb
Goa Beaches,Goa,Beach,9.228896756,Nov-Mar
Jaipur City,Rajasthan,City,8.501224869,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.206043311,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.943715894,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.277156854,Nov-Feb
Goa Beaches,Goa,Beach,8.377495779,Nov-Mar
Jaipur City,Rajasthan,City,7.804063905,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.073371867,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.928094923,Apr-Jun
